X0 X0.1 X1 X0.2 X0.3 X0.4 X0.5 X0.6 cfr id
0 1 0 0 1 1 0 0 0.00620448790141381 100080
1 0 0 0 0 0 0 0 0.0044547027500812 100081
0 0 0 0 0 0 0 0 0.000723965099314228 100082
0 0 0 0 0 0 0 0 0.00147886688937433 100083
0 0 0 0 3 2 2 0 0.0105414261837723 100084
0 1 0 0 0 0 0 0 0.00155314653820824 100085
1 1 0 0 2 1 0 0 0.00513291923562065 100086
0 1 3 0 2 0 0 0 0.00917109016445465 100087
0 0 1 0 1 1 0 0 0.00366595830710139 100088
1 1 0 1 0 0 0 0 0.00417814546381123 100089
0 0 0 0 0 0 0 0 0.000589568889699876 100090
0 0 0 1 0 1 0 0 0.0065518594783498 100091
0 0 0 0 1 1 0 0 0.00965029020153452 100092
0 3 0 1 1 1 0 0 0.00774730504199397 100093
0 0 2 0 0 0 0 0 0.00458199925196823 100094
0 0 0 0 0 0 0 0 0.00121646487386897 100095
0 0 0 1 0 1 0 0 0.00778709205333144 100096
1 2 0 1 1 1 0 0 0.00993239960225765 100097
0 0 0 1 0 0 0 0 0.00562492537137587 100098
1 1 0 0 0 0 0 0 0.0121851799282013 100099
0 1 1 1 1 1 0 0 0.00745749699126463 100100
0 1 0 0 0 1 0 0 0.00449744814541191 100101
0 1 0 0 0 0 0 0 0.00388798494532239 100102
1 0 0 0 1 2 0 0 0.00749682692112401 100103
1 0 1 1 0 0 0 0 0.00575536488322541 100104
1 1 2 1 0 1 1 0 0.00614988850720692 100105
0 1 2 0 0 0 0 0 0.00717107911477797 100106
0 1 0 0 0 1 0 0 0.00694252182147466 100107
0 0 0 0 0 0 1 0 0.0080708874593256 100108
0 0 1 0 1 0 1 0 0.0056757697078865 100109
0 1 0 2 0 1 0 0 0.00883437907032203 100110
0 0 0 0 0 0 0 0 0.000837056667660363 100111
1 0 0 0 0 0 0 0 0.000886764968163334 100112
0 0 1 0 0 0 0 0 0.00265115695365239 100113
0 0 2 1 2 1 1 0 0.0119648342370056 100114
0 0 0 1 0 0 0 0 0.00693478224566206 100115
1 0 0 1 0 0 0 0 0.00917925187386572 100116
0 0 0 0 0 0 0 0 0.00496627464017365 100117
0 0 0 0 2 0 0 0 0.00986044191813562 100118
0 0 0 1 1 2 0 0 0.00307096008036751 100119
0 0 0 0 0 0 0 0 0.00132854387338739 100120
0 0 0 0 1 0 0 0 0.00323806888482068 100121
0 0 0 1 1 0 1 0 0.0120504730963148 100122
0 1 2 0 2 1 0 0 0.0103985215449939 100123
1 0 0 1 0 0 0 0 0.00834988718852401 100124
0 0 0 1 0 0 0 0 0.00144019889994524 100125
0 1 0 0 0 0 0 0 0.00714469898375683 100126
1 0 0 2 0 2 0 0 0.0123341866506962 100127
0 0 1 0 1 0 0 0 0.00592574982147198 100128
0 1 0 0 1 1 1 0 0.00690865318756551 100129
0 1 1 2 1 1 0 0 0.00820943671860732 100130
0 1 1 1 0 0 0 0 0.00844878279021941 100131
0 0 0 0 0 1 0 0 0.00436647383903619 100132
0 0 0 0 1 1 0 0 0.00717475852870848 100133
1 0 1 1 0 0 1 0 0.0076343893626472 100134
1 0 0 0 1 0 1 0 0.00742084678204265 100135
0 0 2 0 0 1 0 0 0.0109062891744543 100136
0 0 1 0 0 1 0 0 0.00362541416834574 100137
1 0 0 1 0 0 0 0 0.00252901894273236 100138
0 0 0 2 1 1 0 0 0.00790160108008422 100139
0 1 0 0 0 0 0 0 0.00341877080500126 100140
0 0 0 0 1 0 0 0 0.00492662811011542 100141
0 0 2 3 2 0 0 0 0.00860591811360791 100142
0 0 0 0 0 0 0 0 0.000478837452828884 100143
